category,vendor,description,amount
Food & Dining,Local Restaurant,restaurant dinner meal,451.85
Others,Miscellaneous,general misc,161.01
Transportation,Uber,gas,34.91
Shopping,H&M,clothes purchase shoes,77.84
Others,Various Services,service,155.43
Entertainment,Steam,game music #2055,12.85
Shopping,H&M,accessories electronics,266.32
Shopping,Amazon,accessories clothes purchase,239.34
Shopping,Best Buy,accessories purchase #6614,42.82
Bills & Utilities,Electric Company,monthly bill payment,376.7
Transportation,Lyft,transportation taxi,62.75
Bills & Utilities,Verizon,bill utility #2126,14.41
Bills & Utilities,Verizon,bill service,913.4
Healthcare,Quest Diagnostics,prescription medicine,217.1
Others,Unknown Vendor,service general other #4611,629.05
Others,Unknown Vendor,general,34.52
Entertainment,Netflix,streaming game,11.29
Bills & Utilities,AT&T,utility monthly #3061,19.87
Entertainment,Spotify,game,49.51
Others,Unknown Vendor,payment service,479.41
Healthcare,Walgreens,medicine doctor medical,408.68
Healthcare,Walgreens,medical #5211,303.61
Transportation,Metro,gas taxi fuel,64.32
Bills & Utilities,Verizon,monthly utility,869.29
Food & Dining,Chipotle,dinner takeout #8125,168.98
Entertainment,AMC Theaters,game movie music #4726,31.84
Transportation,BP,transportation,54.43
Transportation,Shell,gas fuel #9508,23.69
Entertainment,AMC Theaters,streaming #1258,17.59
Transportation,Lyft,transit taxi,46.41
Transportation,Shell,transportation gas,41.77
Groceries,Trader Joes,produce groceries,34.44
Healthcare,Quest Diagnostics,medical doctor,362.67
Groceries,Whole Foods,meat bread,130.7
Others,Unknown Vendor,payment service,802.15
Transportation,Shell,gas #6840,53.61
Healthcare,Local Clinic,medicine medical prescription,433.45
Food & Dining,Local Restaurant,meal restaurant lunch,103.7
Transportation,Lyft,ride gas,61.82
Groceries,Kroger,food dairy produce,37.47
Shopping,H&M,accessories #6470,172.11
Others,Unknown Vendor,service payment #5584,692.45
Shopping,H&M,clothes accessories,285.27
Transportation,Metro,gas #6224,11.79
Groceries,Safeway,meat dairy #2820,36.49
Groceries,Trader Joes,groceries bread produce,139.25
Transportation,Shell,taxi,14.11
Bills & Utilities,AT&T,payment service utility,206.98
Groceries,Kroger,produce,88.92
Food & Dining,Chipotle,lunch #4580,282.48
Transportation,Lyft,taxi transportation,75.16
Food & Dining,Local Restaurant,restaurant delivery,675.53
Shopping,Best Buy,electronics purchase #4958,193.75
Groceries,Safeway,bread food #4629,99.13
Healthcare,CVS,health doctor medicine #4989,58.59
Transportation,Metro,gas,34.97
Groceries,Kroger,groceries produce food,42.32
Others,Various Services,other payment,353.99
Entertainment,Steam,entertainment streaming,34.92
Transportation,Metro,transit ride,17.42
Bills & Utilities,AT&T,service monthly utility,209.26
Others,Miscellaneous,service,17.01
Others,Miscellaneous,service general,587.75
Groceries,Safeway,dairy,103.9
Shopping,Nike,clothes shoes electronics,86.51
Groceries,Walmart,groceries food meat,32.18
Shopping,Target,clothes electronics,183.64
Healthcare,Walgreens,medical,152.29
Groceries,Whole Foods,meat produce,179.97
Others,Various Services,other misc payment #6800,170.95
Others,Various Services,other,767.25
Bills & Utilities,Electric Company,service #3325,902.91
Healthcare,CVS,health #5576,340.19
Healthcare,Walgreens,medical medicine #9867,257.11
Bills & Utilities,Verizon,monthly,997.15
Entertainment,Xbox,entertainment movie,15.82
Shopping,Best Buy,purchase,267.85
Shopping,Best Buy,shoes,178.48
Entertainment,AMC Theaters,entertainment movie,44.23
Others,Miscellaneous,misc,110.07
Shopping,Target,shoes,72.2
Groceries,Whole Foods,dairy produce food #5520,136.06
Others,Miscellaneous,general,522.91
Food & Dining,Pizza Hut,meal lunch #9811,585.08
Groceries,Kroger,bread produce #2013,57.92
Others,Miscellaneous,general misc,810.66
Bills & Utilities,Verizon,utility service bill #6858,661.99
Food & Dining,Subway,restaurant meal lunch #5863,922.56
Others,Miscellaneous,service general misc,874.55
Others,Unknown Vendor,service general other #9852,396.01
Others,Miscellaneous,general service other #8950,379.07
Food & Dining,McDonalds,lunch takeout,208.23
Others,Unknown Vendor,other general,991.39
Bills & Utilities,Verizon,monthly,84.07
Groceries,Whole Foods,dairy bread #2248,142.02
Others,Miscellaneous,misc,672.79
Shopping,Amazon,shoes #3386,184.41
Bills & Utilities,Verizon,monthly bill,376.41
Entertainment,Spotify,streaming music movie,21.9
Bills & Utilities,AT&T,utility bill,121.64
Food & Dining,Chipotle,lunch takeout,530.29
Groceries,Walmart,meat #6549,23.71
Groceries,Safeway,meat food,114.09
Healthcare,CVS,health medicine medical,296.16
Bills & Utilities,Verizon,payment utility service,844.55
Others,Unknown Vendor,misc service other,673.25
Bills & Utilities,Water Service,payment service,130.43
Transportation,Uber,fuel,49.12
Healthcare,Walgreens,doctor health,474.25
Groceries,Kroger,bread groceries,163.39
Others,Miscellaneous,misc,677.53
Groceries,Trader Joes,groceries #3628,152.73
Others,Miscellaneous,general service other,404.82
Food & Dining,Local Restaurant,takeout meal,513.12
Healthcare,CVS,medicine,30.25
Shopping,Target,shoes,161.37
Transportation,Lyft,ride transit taxi,40.15
Healthcare,Local Clinic,prescription health doctor,254.41
Healthcare,CVS,medical,179.56
Bills & Utilities,Verizon,service payment #8668,129.93
Bills & Utilities,Water Service,utility monthly #7457,305.36
Entertainment,Spotify,game music movie,42.34
Bills & Utilities,AT&T,service #3579,544.21
Entertainment,Netflix,streaming #4578,26.55
Healthcare,CVS,medical doctor,141.74
Entertainment,Spotify,music,48.8
Others,Various Services,general misc,649.63
Food & Dining,Local Restaurant,delivery meal,585.1
Entertainment,Spotify,streaming music movie,31.48
Groceries,Safeway,meat groceries #7669,91.0
Bills & Utilities,Water Service,payment monthly,484.09
Bills & Utilities,Verizon,utility monthly service #3495,735.98
Food & Dining,Pizza Hut,dinner takeout,516.43
Groceries,Kroger,groceries #7348,194.87
Food & Dining,McDonalds,delivery,632.94
Others,Miscellaneous,general misc payment,132.91
Entertainment,Xbox,game entertainment music,48.08
Transportation,Shell,ride transportation #2836,35.27
Bills & Utilities,AT&T,service utility,307.21
Transportation,Shell,gas transportation ride #2088,6.72
Healthcare,Local Clinic,medical prescription,203.91
Healthcare,Walgreens,doctor medicine medical,461.2
Shopping,Nike,clothes shoes accessories,94.78
Entertainment,Steam,music movie game,16.0
Groceries,Safeway,food dairy #6077,77.95
Shopping,Nike,accessories electronics #4010,105.05
Others,Miscellaneous,misc payment service,809.79
Entertainment,Spotify,music,34.41
Bills & Utilities,Electric Company,service bill utility,568.17
Bills & Utilities,AT&T,bill,124.08
Transportation,Lyft,ride transportation,76.13
Entertainment,Xbox,game streaming movie,14.66
Entertainment,Xbox,game entertainment streaming #1368,30.12
Bills & Utilities,Electric Company,service payment bill,306.3
Groceries,Trader Joes,bread dairy #5256,100.0
Others,Miscellaneous,other,171.04
Entertainment,Steam,music movie entertainment,11.85
Food & Dining,Local Restaurant,takeout delivery,529.26
Others,Various Services,misc other service #8922,858.26
Bills & Utilities,Electric Company,monthly service,306.49
Groceries,Whole Foods,produce bread meat,92.05
Entertainment,Netflix,streaming game movie,33.13
Entertainment,Netflix,streaming movie,35.99
Bills & Utilities,Verizon,monthly,582.02
Shopping,Nike,purchase electronics shoes #4267,276.68
Groceries,Trader Joes,meat produce groceries,121.7
Bills & Utilities,Electric Company,monthly #6889,328.03
Food & Dining,Pizza Hut,meal #8475,272.55
Transportation,Uber,transportation gas,67.04
Entertainment,Steam,entertainment movie,35.98
Shopping,Nike,clothes accessories shoes,253.92
Shopping,Amazon,purchase,84.67
Healthcare,Local Clinic,health,345.02
Transportation,Shell,transportation ride,41.93
Groceries,Whole Foods,groceries #5523,190.4
Bills & Utilities,Water Service,utility bill,142.28
Entertainment,Xbox,music,22.22
Bills & Utilities,Water Service,service payment,760.42
Others,Miscellaneous,service payment other,89.88
Healthcare,Quest Diagnostics,doctor,498.54
Others,Various Services,general service,486.25
Food & Dining,Subway,delivery,274.98
Others,Various Services,misc service,738.99
Transportation,Metro,gas,13.89
Entertainment,AMC Theaters,music #7622,49.24
Transportation,Uber,fuel,71.67
Shopping,Best Buy,electronics shoes,98.43
Food & Dining,McDonalds,lunch delivery,160.06
Bills & Utilities,Verizon,monthly,761.86
Shopping,Nike,clothes electronics,140.0
Others,Various Services,general other service,972.35
Transportation,Shell,transportation taxi transit #8504,23.19
Bills & Utilities,Electric Company,service payment monthly #4799,993.3
Shopping,Amazon,purchase,116.15
Transportation,Lyft,taxi,18.76
Entertainment,Netflix,game entertainment #2953,15.85
Groceries,Trader Joes,bread #1553,66.97
Entertainment,Steam,streaming,45.73
Others,Various Services,service other payment,271.2
Others,Unknown Vendor,payment other misc,792.59
Transportation,Uber,ride fuel transportation,9.18
Healthcare,Walgreens,prescription medicine,396.63
Bills & Utilities,Verizon,utility payment bill #8956,71.79
Bills & Utilities,Electric Company,monthly service utility,60.82
Food & Dining,Chipotle,restaurant,79.63
Food & Dining,Chipotle,restaurant lunch,889.85
Groceries,Whole Foods,food,166.78
Shopping,H&M,purchase accessories #4044,69.77
Others,Unknown Vendor,misc #6038,719.37
Bills & Utilities,Verizon,payment utility bill,733.87
Entertainment,Netflix,music game,24.43
Healthcare,Local Clinic,medicine prescription doctor,226.02
Entertainment,AMC Theaters,game movie entertainment,34.13
Groceries,Safeway,groceries #5242,87.83
Food & Dining,Local Restaurant,lunch restaurant delivery,892.78
Shopping,Best Buy,shoes purchase #4215,255.85
Groceries,Safeway,produce food groceries,94.02
Shopping,Best Buy,electronics purchase #4980,296.62
Transportation,BP,ride,27.45
Bills & Utilities,Electric Company,bill service monthly,711.17
Food & Dining,McDonalds,delivery dinner lunch #8276,198.91
Entertainment,Netflix,streaming entertainment,35.7
Bills & Utilities,Verizon,monthly #2444,618.11
Healthcare,CVS,doctor prescription,57.96
Shopping,Nike,clothes accessories #2942,262.16
Bills & Utilities,Verizon,service utility bill #7247,111.2
Healthcare,Walgreens,doctor,228.47
Groceries,Trader Joes,food meat,48.18
Healthcare,CVS,doctor,435.61
Healthcare,Local Clinic,medicine doctor prescription,348.48
Bills & Utilities,Verizon,payment,290.39
Healthcare,Quest Diagnostics,health,185.4
Shopping,Target,electronics accessories,106.93
Shopping,Target,shoes electronics purchase,273.24
Food & Dining,Local Restaurant,dinner #8949,105.75
Food & Dining,McDonalds,delivery dinner,502.88
Bills & Utilities,Electric Company,bill utility #1673,225.53
Shopping,Amazon,clothes accessories,175.85
Others,Miscellaneous,other,458.16
Food & Dining,Chipotle,restaurant lunch,112.45
Entertainment,Xbox,game streaming,11.83
Food & Dining,Chipotle,lunch dinner,951.23
Food & Dining,Pizza Hut,lunch dinner,797.58
Groceries,Trader Joes,food #2956,186.49
Others,Unknown Vendor,general,486.17
Healthcare,Walgreens,health medical doctor,88.37
Transportation,Shell,taxi transportation,26.71
Others,Various Services,service payment general,811.38
Healthcare,Local Clinic,medicine medical,287.21
Healthcare,Quest Diagnostics,health prescription,395.51
Shopping,Amazon,shoes,18.18
Shopping,Best Buy,accessories clothes shoes,57.17
Food & Dining,Chipotle,dinner delivery lunch,188.13
Healthcare,Local Clinic,prescription,98.24
Bills & Utilities,Electric Company,utility,184.82
Others,Various Services,other general misc,687.22
Healthcare,Walgreens,medicine health doctor,430.97
Others,Various Services,payment general #7031,29.82
Groceries,Kroger,food bread groceries,162.0
Healthcare,Local Clinic,medicine prescription health,90.34
Groceries,Trader Joes,groceries,125.86
Entertainment,Xbox,entertainment movie music,25.92
Groceries,Safeway,produce,35.76
Healthcare,Quest Diagnostics,medical medicine doctor,469.46
Others,Unknown Vendor,general,478.6
Others,Various Services,misc payment general #6492,659.12
Food & Dining,Local Restaurant,delivery dinner lunch,715.78
Others,Miscellaneous,payment misc other #7328,737.83
Food & Dining,McDonalds,dinner,401.72
Others,Miscellaneous,other payment,225.56
Transportation,Shell,gas,36.03
Others,Miscellaneous,service other,653.18
Groceries,Whole Foods,produce bread meat #7691,51.86
Others,Various Services,general,204.39
Healthcare,Local Clinic,health doctor #5881,148.63
Others,Miscellaneous,service,889.48
Transportation,Lyft,transit,66.34
Bills & Utilities,Verizon,monthly payment service,790.14
Shopping,Best Buy,clothes accessories,192.07
Bills & Utilities,Water Service,bill utility monthly #1437,672.25
Groceries,Walmart,produce,87.06
Others,Unknown Vendor,other misc,56.39
Shopping,H&M,electronics,104.03
Groceries,Whole Foods,meat,90.5
Entertainment,AMC Theaters,game streaming music,24.91
Shopping,Target,purchase clothes accessories,236.39
Bills & Utilities,Electric Company,service,267.34
Others,Unknown Vendor,payment misc,63.1
Others,Miscellaneous,general payment other,747.01
Bills & Utilities,Water Service,monthly #8758,558.75
Transportation,Lyft,fuel transportation transit,55.84
Healthcare,Quest Diagnostics,health doctor,375.68
Entertainment,Spotify,music,12.53
Healthcare,Walgreens,prescription #2053,363.56
Healthcare,Walgreens,medicine prescription health,371.32
Healthcare,Quest Diagnostics,medicine prescription health,282.09
Bills & Utilities,Water Service,bill utility monthly,776.64
Entertainment,Steam,entertainment,42.91
Bills & Utilities,AT&T,bill utility,658.64
Healthcare,Local Clinic,medicine #8216,294.77
Groceries,Kroger,food bread dairy,40.13
Food & Dining,Pizza Hut,lunch dinner takeout,464.45
Healthcare,Walgreens,doctor prescription,363.79
Bills & Utilities,Verizon,payment utility #7768,471.36
Bills & Utilities,AT&T,monthly service,34.09
Entertainment,Steam,streaming movie game #3177,38.08
Entertainment,Spotify,movie entertainment game #2358,49.47
Shopping,Target,shoes clothes purchase,99.66
Groceries,Trader Joes,bread dairy,44.19
Groceries,Safeway,produce,84.49
Entertainment,Netflix,entertainment,43.36
Others,Unknown Vendor,service payment general #4517,578.24
Entertainment,Spotify,music,49.92
Entertainment,Xbox,movie entertainment #1818,27.21
Bills & Utilities,AT&T,service utility monthly,14.44
Healthcare,Quest Diagnostics,doctor prescription medical #9760,183.9
Healthcare,Local Clinic,doctor,173.85
Others,Miscellaneous,payment service other #1801,395.16
Healthcare,Walgreens,health doctor medicine #5671,414.03
Groceries,Whole Foods,bread meat,55.97
Transportation,Uber,gas transit ride,16.05
Bills & Utilities,Water Service,bill,614.27
Others,Unknown Vendor,other misc service #6420,200.8
Bills & Utilities,Water Service,payment utility #3427,214.21
Food & Dining,Chipotle,dinner restaurant,300.18
Shopping,Target,accessories shoes clothes,66.99
Healthcare,Local Clinic,medical,441.98
Groceries,Safeway,dairy food meat #8174,179.67
Food & Dining,Local Restaurant,restaurant,626.96
Shopping,Nike,purchase #4339,172.44
Healthcare,Quest Diagnostics,doctor,159.97
Groceries,Whole Foods,dairy food produce,142.12
Bills & Utilities,Electric Company,bill,177.72
Healthcare,Walgreens,medicine health prescription,224.82
Shopping,Amazon,accessories clothes,167.42
Bills & Utilities,Electric Company,payment service #2319,16.33
Entertainment,Netflix,game streaming movie #4236,43.09
Healthcare,Quest Diagnostics,prescription #6059,161.23
Entertainment,AMC Theaters,streaming movie entertainment,31.13
Groceries,Walmart,bread dairy meat,32.33
Entertainment,Spotify,entertainment,49.91
Entertainment,AMC Theaters,game streaming movie,11.64
Transportation,Uber,gas,18.32
Healthcare,Walgreens,medical health doctor,303.22
Others,Miscellaneous,misc service,446.65
Shopping,H&M,purchase,87.19
Others,Various Services,misc payment other #1277,746.04
Others,Various Services,other general #1397,482.97
